Re,Overlap,AOA,COL
20,0,20,0.660017452
20,0,50,0.566045712
20,100,20,1.007325084
20,100,50,0.863892295
200,0,20,0.709277974
200,0,50,0.637505811
200,100,20,1.104816343
200,100,50,0.923329757
20,50,35,0.766159981
200,50,35,0.83781039
110,0,35,0.698001916
110,100,35,1.010351889
110,50,20,0.810090515
110,50,50,0.732138753
110,50,35,0.814545977
57.20419849,18.31996,32.30585323,0.71304168
145.4657454,83.50974,22.10251727,0.97172759
166.1200507,76.49127,30.80819024,0.938048352
47.6857399,48.72949,49.50508215,0.701264063
107.8717547,23.73004,41.80030766,0.727898891
57.20419849,18.31996,32.30585323,0.713047534
145.4657454,83.50974,22.10251727,0.971783284
166.1200507,76.49127,30.80819024,0.938001788
47.6857399,48.72949,49.50508215,0.701304884
107.8717547,23.73004,41.80030766,0.727951216
173.3235064,7.59871,40.18464758,0.717128266
74.66062218,52.84298,25.13762363,0.802321586
157.2702726,65.08046,37.75988691,0.872854131
192.1350404,49.88275,45.92314601,0.79160174
68.64845554,32.73230,41.95866501,0.730140372
137.9875908,72.18085,47.41723584,0.833221656
50.47262668,10.82577,32.49721274,0.692087663
33.02186271,90.55857,31.11328638,0.933427754
100.9066997,29.55850,26.55135624,0.757028363
110.7263596,84.49949,20.98007458,0.951491719
80.05881512,17.39088,37.37258657,0.716151646
38.68356965,48.71774,42.8720715,0.739768012
184.0181206,62.40830,20.60229674,0.883143773
21.28846132,81.95198,31.27143425,0.898018309
61.17141546,77.35999,23.66337913,0.877437652
144.5006772,32.00013,34.16355566,0.778215163
159.4209062,55.70467,39.44651761,0.835164659
175.7344864,1.11846,28.20812798,0.721159567
111.8615424,92.21561,48.14362184,0.889343571
97.05953177,27.35147,45.75230886,0.710285439
