thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift
0,0,0,0,0,0,0,0
6.22039005273298e-10,4.97590075924408e-06,0.0265359339041613,0,0,0,0,0.000358
4.97630632800942e-09,1.99035649505829e-05,0.0530716646972679,0,0,0,0,0.00173
1.67950017184515e-08,4.4782878314836e-05,0.0796069892698199,0,0,0,0,0.002897
3.9810267793531e-08,7.96136504209023e-05,0.106141704515427,0,0,0,0,0.004848
7.77541614679564e-08,0.000124395614667636,0.132675607332361,0,0,0,0,0.007796
1.34358625391504e-07,0.000179128428285292,0.159208494625115,0,0,0,0,0.010474
2.13355459380391e-07,0.000243811672338697,0.185740163305954,0,0,0,0,0.014027
3.1847629185879e-07,0.000318444851729998,0.212270410296469,0,0,0,0,0.01841
4.53452551288515e-07,0.000403027395202701,0.238799032529134,0,0,0,0,0.022802
6.22015437615048e-07,0.000497558655346001,0.26532582694886,0,0,0,0,0.028694
8.27895893706804e-07,0.000602037908599978,0.291850590514548,0,0,0,0,0.034581
1.07482457679214e-06,0.000716464355260364,0.318373120200643,0,0,0,0,0.041557
1.36653182991047e-06,0.000840837119485757,0.344893212998688,0,0,0,0,0.049902
1.70674765336392e-06,0.000975155249303397,0.37141066591888,0,0,0,0,0.058525
2.09920167614588e-06,0.00111941771661696,0.397925275991621,0,0,0,0,0.068365
2.54762312742652e-06,0.0012736234172142,0.424436840269072,0,0,0,0,0.079617
3.05574080797626e-06,0.0014377711707755,0.450945155826711,0,0,0,0,0.091093
3.62728306164787e-06,0.00161185972088319,0.477450019764876,0,0,0,0,0.103897
4.26597774682593e-06,0.00179588773503014,0.50395122921033,0,0,0,0,0.118073
4.97555220789987e-06,0.00198985380463153,0.530448581317805,0,0,0,0,0.133393
5.75973324673259e-06,0.00219375644503428,0.556941873271559,0,0,0,0,0.148917
6.62224709413018e-06,0.002407594095529,0.583430902286927,0,0,0,0,0.166987
7.56681938133076e-06,0.00263136511936185,0.609915465611874,0,0,0,0,0.185807
8.5971751114765e-06,0.00286506780374708,0.636395360528543,0,0,0,0,0.205036
9.71703863110812e-06,0.00310870035988046,0.662870384354815,0,0,0,0,0.227661
1.09301336016583e-05,0.00336226092295199,0.689340334445852,0,0,0,0,0.249009
1.22401829709473e-05,0.00362574755216135,0.71580500819565,0,0,0,0,0.273885
1.36509089446876e-05,0.00389915823073201,0.742264203038596,0,0,0,0,0.298554
1.51660329579933e-05,0.00418249086592701,0.768717716451009,0,0,0,0,0.325815
1.67892756469047e-05,0.00447574328906466,0.795165345952696,0,0,0,0,0.353578
1.85243568198866e-05,0.00477891325553575,0.821606889108502,0,0,0,0,0.383054
2.03749954293802e-05,0.00509199844481983,0.848042143529856,0,0,0,0,0.414532
2.23449095433233e-05,0.00541499646050371,0.874470906876325,0,0,0,0,0.446662
2.44378163167096e-05,0.00574790483029946,0.900892976857156,0,0,0,0,0.481357
2.66574319631042e-05,0.00609072100606355,0.927308151232831,0,0,0,0,0.515984
2.90074717262343e-05,0.00644344236381623,0.953716227816612,0,0,0,0,0.554417
3.14916498515229e-05,0.00680606620376141,0.980117004476088,0,0,0,0,0.59179
3.41136795576885e-05,0.0071785897503078,1.00651027913472,0,0,0,0,0.632921
3.68772730082879e-05,0.00756101015208972,1.03289584977341,0,0,0,0,0.67474
3.97861412833451e-05,0.00795332448198906,1.05927351443199,0,0,0,0,0.717462
4.28439943509053e-05,0.00835552973715778,1.08564307121084,0,0,0,0,0.763105
4.6054541038664e-05,0.00876762283904074,1.11200431827238,0,0,0,0,0.809814
4.94214890055616e-05,0.00918960063339961,1.13835705384266,0,0,0,0,0.858063
5.29485447134258e-05,0.00962145989033646,1.16470107621284,0,0,0,0,0.907956
5.66394133985866e-05,0.0100631973043191,1.1910361837408,0,0,0,0,0.95939
