thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift
0,0,0,0,0,0,0,0
4.10344784425879e-10,3.28250712507463e-06,0.0175053586018087,0,0,0,0,0.000228
3.28275450638479e-09,1.31300033755964e-05,0.0350105832159394,0,0,0,0,0.000713
1.10792752586705e-08,2.954241337803e-05,0.0525155398557396,0,0,0,0,0.002042
2.62619154438543e-08,5.25196115101979e-05,0.0700200945366081,0,0,0,0,0.003145
5.12926269319635e-08,8.20614219023273e-05,0.08752411327702,0,0,0,0,0.004849
8.86332862127667e-08,0.000118167618438669,0.105027462099553,0,0,0,0,0.006716
1.40745675556242e-07,0.000160837924758926,0.122530007031912,0,0,0,0,0.009493
2.10091464167278e-07,0.000210072014260635,0.140031614107954,0,0,0,0,0.011948
2.99132189346147e-07,0.000265869510101259,0.157532149368718,0,0,0,0,0.015109
4.10329237642644e-07,0.000328229985201618,0.175031478863442,0,0,0,0,0.018497
5.46143826024557e-07,0.000397152962248457,0.192529468650596,0,0,0,0,0.022929
7.09036983031994e-07,0.000472637913699022,0.210025984798905,0,0,0,0,0.027295
9.01469529943248e-07,0.000554684261784196,0.22752089338837,0,0,0,0,0.032608
1.12590206193954e-06,0.000643291378513551,0.245014060511299,0,0,0,0,0.038343
1.38479492927089e-06,0.000738458585679535,0.262505352273329,0,0,0,0,0.045315
1.68060821842606e-06,0.000840185154863568,0.279994634794451,0,0,0,0,0.052318
2.01580173330176e-06,0.000948470307440707,0.297481774210035,0,0,0,0,0.060203
2.39283497637038e-06,0.00106331321458622,0.314966636671854,0,0,0,0,0.068561
2.81416712986261e-06,0.00118471299728138,0.332449088349109,0,0,0,0,0.077496
3.28225703694179e-06,0.00131266872632083,0.349928995429454,0,0,0,0,0.087761
3.79956318288214e-06,0.00144717942231931,0.36740622412002,0,0,0,0,0.098065
4.36854367624832e-06,0.00158824405571909,0.384880640648438,0,0,0,0,0.110275
4.99165623009365e-06,0.00173586154679808,0.402352111263863,0,0,0,0,0.121745
5.67135814312639e-06,0.00189003076567793,0.419820502237999,0,0,0,0,0.135823
