Re,Overlap,AOA,COL
20,0,20,2.804404074
20,0,50,14.53085968
20,100,20,5.30441994
20,100,50,19.88343533
200,0,20,23.32152267
200,0,50,14.41961786
200,100,20,31.87066229
200,100,50,19.73878344
20,50,35,17.14912776
200,50,35,16.99185811
110,0,35,14.65147731
110,100,35,20.00755195
110,50,20,17.52234761
110,50,50,16.75765153
110,50,35,17.01205501
57.20419849,18.31996,32.30585323,15.55129688
145.4657454,83.50974,22.10251727,19.44021561
166.1200507,76.49127,30.80819024,18.67078297
47.6857399,48.72949,49.50508215,16.72700693
107.8717547,23.73004,41.80030766,15.56325781
173.3235064,7.59871,40.18464758,14.85992568
74.66062218,52.84298,25.13762363,17.51805616
157.2702726,65.08046,37.75988691,17.77115614
192.1350404,49.88275,45.92314601,16.78983279
68.64845554,32.7323,41.95866501,15.99583207
137.9875908,72.18085,47.41723584,18.01913245
50.47262668,10.82577,32.49721274,15.2148546
33.02186271,90.55857,31.11328638,19.63177434
100.9066997,29.5585,26.55135624,16.24700052
110.7263596,84.49949,20.98007458,19.55999362
80.05881512,17.39088,37.37258657,15.3491592
38.68356965,48.71774,42.8720715,16.82060746
184.0181206,62.4083,20.60229674,28.16624127
21.28846132,81.95198,31.27143425,19.15920192
61.17141546,77.35999,23.66337913,19.02136534
144.5006772,32.00013,34.16355566,2.044709602
159.4209062,55.70467,39.44651761,17.20290604
175.7344864,1.11846,28.20812798,14.87234926
111.8615424,92.21561,48.14362184,19.26063575
97.05953177,27.35147,45.75230886,15.68222841
