thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift,drag,power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
4.65684613318059e-10,3.72516041370346e-06,0.019865826786634,0.0,0.0,0.0,0.0,0.0,0.00026,-0.0
3.72547262891145e-09,1.49006131413916e-05,0.0397315015157729,0.0,0.0,0.0,0.0,0.0,0.001455,0.0
1.25734460621568e-08,3.35262726437701e-05,0.0595968721310857,0.0,0.0,0.0,0.0,0.0,0.001687,0.0
2.98036441558995e-08,5.96019963558889e-05,0.0794617865785689,0.0,0.0,0.0,0.0,0.0,0.003861,0.0
5.8210041992711e-08,9.3127584688331e-05,0.0993260928077109,0.0,0.0,0.0,0.0,0.0,0.005224,0.0
1.0058652910989e-07,0.0001341027810285,0.119189638772655,0.0,0.0,0.0,0.0,0.0,0.008081,0.0
1.5972688811636e-07,0.0001825272717433,0.139052272433365,0.0,0.0,0.0,0.0,-0.0,0.0105,0.0
2.38424773304722e-07,0.0002384006861807,0.158913841756786,0.0,0.0,0.0,0.0,0.0,0.013647,0.0
3.39473689269624e-07,0.0003017225966731,0.17877419471801,0.0,0.0,0.0,0.0,-1e-06,0.017031,0.0
4.65666969526989e-07,0.0003724925185403,0.198633179301441,0.0,0.0,0.0,0.0,-0.0,0.021396,0.0
6.19797755132389e-07,0.0004507099100936,0.218490643501955,0.0,0.0,0.0,0.0,-3e-06,0.025739,1e-05
8.04658973300695e-07,0.0005363741726394,0.238346435326067,0.0,0.0,0.0,0.0,-5e-06,0.030939,1e-05
1.02304331603036e-06,0.0006294846504841,0.258200402793091,0.0,0.0,0.0,0.0,-1e-05,0.037343,1e-05
1.27774321872348e-06,0.0007300406309396,0.278052393936307,0.0,0.0,0.0,0.0,-1.5e-05,0.04312,1e-05
1.57155083881684e-06,0.0008380413443275,0.297902256804119,0.0,0.0,0.0,0.0,-2.5e-05,0.051221,2e-05
1.90725803441045e-06,0.0009534859639863,0.317749839461225,0.0,0.0,0.0,0.0,-3.6e-05,0.05942,3e-05
2.28765634288924e-06,0.0010763736062769,0.337594989989774,0.0,0.0,0.0,0.0,-5.1e-05,0.067727,3e-05
2.71553695956852e-06,0.0012067033305898,0.357437556490533,0.0,0.0,0.0,0.0,-6.8e-05,0.078025,4e-05
3.19369071631905e-06,0.001344474139352,0.377277387084044,0.0,0.0,0.0,0.0,-8.7e-05,0.087947,6e-05
3.72490806021249e-06,0.0014896849780347,0.397114329911795,0.0,0.0,0.0,0.0,-0.000111,0.099836,7e-05
4.31197903215663e-06,0.0016423347351618,0.416948233137374,0.0,0.0,0.0,0.0,-0.000134,0.111655,9e-05
4.95769324555091e-06,0.0018024222423177,0.436778944947637,0.0,0.0,0.0,0.0,-0.000163,0.124811,0.00011
5.66483986491411e-06,0.0019699462741566,0.456606313553866,0.0,0.0,0.0,0.0,-0.000194,0.138635,0.00013
6.43620758455845e-06,0.0021449055484122,0.476430187192934,0.0,0.0,0.0,0.0,-0.000226,0.153374,0.00016
7.27458460722819e-06,0.0023272987259067,0.496250414128464,0.0,0.0,0.0,0.0,-0.000265,0.169645,0.00019
8.18275862276025e-06,0.0025171244105621,0.516066842651994,0.0,0.0,0.0,0.0,-0.000305,0.186178,0.00023
9.16351678675833e-06,0.0027143811494098,0.535879321084133,0.0,0.0,0.0,0.0,-0.00035,0.204808,0.00027
1.0219645699245e-05,0.0029190674326025,0.555687697775727,0.0,0.0,0.0,0.0,-0.000397,0.222848,0.00031
1.13539313833392e-05,0.0031311816934255,0.575491821109016,0.0,0.0,0.0,0.0,-0.000449,0.243601,0.000369
1.25691592639322e-05,0.0033507223083086,0.595291539498798,0.0,0.0,0.0,0.0,-0.000504,0.264695,0.000429
1.38681141463595e-05,0.0035776875968388,0.615086701393586,0.0,0.0,0.0,0.0,-0.000563,0.28618,0.000499
1.5253580195101e-05,0.0038120758217729,0.634877155276771,0.0,0.0,0.0,0.0,-0.000626,0.310108,0.000569
1.6728340912451e-05,0.0040538851890507,0.654662749667778,0.0,0.0,0.0,0.0,-0.00069,0.333906,0.000659
1.829517911723e-05,0.0043031138478091,0.674443333123228,0.0,0.0,0.0,0.0,-0.000759,0.359361,0.000749
1.9956876923472e-05,0.0045597598903959,0.694218754238099,0.0,0.0,0.0,0.0,-0.000828,0.386302,0.000859
2.17162157191341e-05,0.004823821352385,0.713988861646881,0.0,0.0,0.0,0.0,-0.000895,0.413788,0.000969
2.35759761448145e-05,0.0050952962125906,0.733753504024736,0.0,0.0,0.0,0.0,-0.000975,0.442799,0.001098
2.55389380724503e-05,0.005374182393083,0.753512530088658,0.0,0.0,0.0,0.0,-0.001054,0.473378,0.001238
2.76078805840627e-05,0.0056604777592051,0.773265788598628,0.0,0.0,0.0,0.0,-0.001143,0.503807,0.001388
2.9785581950466e-05,0.0059541801195879,0.793013128358774,0.0,0.0,0.0,0.0,-0.00123,0.536972,0.001558
3.20748196100116e-05,0.0062552872261676,0.812754398218527,0.0,0.0,0.0,0.0,-0.001324,0.570712,0.001748
3.44783701473239e-05,0.0065637967742028,0.832489447073779,0.0,0.0,0.0,0.0,-0.001418,0.604914,0.001937
3.69990092720663e-05,0.0068797064022922,0.852218123868038,0.0,0.0,0.0,0.0,-0.001507,0.641731,0.002157
3.96395117976551e-05,0.0072030136923927,0.871940277593587,0.0,0.0,0.0,0.0,-0.001614,0.678508,0.002387
4.24026516200626e-05,0.0075337161698378,0.891655757292636,0.0,0.0,0.0,0.0,-0.001724,0.717773,0.002646
4.529120169657e-05,0.0078718113033564,0.91136441205848,0.0,0.0,0.0,0.0,-0.001816,0.756657,0.002916
4.83079340245229e-05,0.0082172965050926,0.931066091036655,0.0,0.0,0.0,0.0,-0.001931,0.798464,0.003205
5.1455619620147e-05,0.0085701691306253,0.950760643426089,0.0,0.0,0.0,0.0,-0.002041,0.8402,0.003525
5.47370284973238e-05,0.0089304264789879,0.970447918480261,0.0,0.0,0.0,0.0,-0.002163,0.884393,0.003875
5.81549296463724e-05,0.0092980657926903,0.990127765508349,0.0,0.0,0.0,0.0,-0.002263,0.928898,0.004244
6.17120910128726e-05,0.0096730842577382,1.00980003387639,0.0,0.0,0.0,0.0,-0.002428,0.974949,0.004633
6.54112794764938e-05,0.0100554790036566,1.02946457300843,0.0,0.0,0.0,0.0,-0.002538,1.022075,0.005053
6.92552608297777e-05,0.0104452471035099,1.04912123238767,0.0,0.0,0.0,0.0,-0.002623,1.071098,0.005502
7.32467997569845e-05,0.010842385573926,1.06876986155764,0.0,0.0,0.0,0.0,-0.002777,1.120533,0.005982
7.73886598129693e-05,0.0112468913751177,1.08841031012331,0.0,0.0,0.0,0.0,-0.0029,1.171587,0.006491
8.16836034019512e-05,0.011658761410907,1.10804242775229,0.0,0.0,0.0,0.0,-0.003057,1.223709,0.00703
8.61343917564435e-05,0.0120779925287483,1.12766606417594,0.0,0.0,0.0,0.0,-0.003188,1.277543,0.007609
9.07437849160906e-05,0.0125045815197522,1.14728106919055,0.0,0.0,0.0,0.0,-0.003336,1.332086,0.008218
9.55145417065139e-05,0.0129385251187114,1.16688729265847,0.0,0.0,0.0,0.0,-0.00346,1.388009,0.008867
0.0001004494197182,0.0133798200041237,1.18648458450927,0.0,0.0,0.0,0.0,-0.003619,1.445795,0.009566
0.0001055511752855,0.0138284627982195,1.20607279474088,0.0,0.0,0.0,0.0,-0.003764,1.503934,0.010295
0.0001108225634655,0.0142844500669859,1.22565177342074,0.0,0.0,0.0,0.0,-0.00392,1.563784,0.011064
0.0001162663380166,0.0147477783201942,1.24522137068696,0.0,0.0,0.0,0.0,-0.004054,1.624414,0.011863
0.000121885251378,0.0152184440114259,1.26478143674945,0.0,0.0,0.0,0.0,-0.004218,1.686955,0.012732
0.0001276820546481,0.0156964435381002,1.28433182189107,0.0,0.0,0.0,0.0,-0.00437,1.749939,0.013631
0.0001336594975641,0.0161817732415017,1.3038723764688,0.0,0.0,0.0,0.0,-0.00452,1.814452,0.014569
0.0001398203284801,0.0166744294068078,1.32340295091484,0.0,0.0,0.0,0.0,-0.004682,1.879929,0.015558
0.0001461672943466,0.0171744082631177,1.3429233957378,0.0,0.0,0.0,0.0,-0.004846,1.947158,0.016617
0.0001527031406897,0.017681705983481,1.3624335615238,0.0,0.0,0.0,0.0,-0.004996,2.014866,0.017715
0.0001594306115893,0.0181963186849273,1.38193329893768,0.0,0.0,0.0,0.0,-0.005168,2.084074,0.018863
0.000166352449659,0.0187182424284954,1.40142245872405,0.0,0.0,0.0,0.0,-0.005325,2.154861,0.020082
0.0001734713960243,0.019247473219264,1.42090089170852,0.0,0.0,0.0,0.0,-0.005503,2.226066,0.02135
0.0001807901903022,0.0197840070063817,1.4403684487988,0.0,0.0,0.0,0.0,-0.005661,2.298695,0.022678
0.0001883115705801,0.0203278396830987,1.45982498098583,0.0,0.0,0.0,0.0,-0.005841,2.372156,0.024046
0.0001960382733944,0.0208789670867976,1.47927033934495,0.0,0.0,0.0,0.0,-0.006,2.447296,0.025504
0.0002039730337104,0.0214373849990257,1.49870437503703,0.0,0.0,0.0,0.0,-0.006181,2.522802,0.027022
0.0002121185849004,0.022003089145527,1.51812693930959,0.0,0.0,0.0,0.0,-0.00634,2.599739,0.02859
0.0002204776587237,0.0225760751962749,1.53753788349798,0.0,0.0,0.0,0.0,-0.006513,2.678139,0.030257
0.0002290529853049,0.0231563387655057,1.55693705902647,0.0,0.0,0.0,0.0,-0.006694,2.756299,0.031935
0.0002378472931135,0.023743875411752,1.57632431740941,0.0,0.0,0.0,0.0,-0.006863,2.837031,0.033722
0.000246863308943,0.0243386806378764,1.5956995102524,0.0,0.0,0.0,0.0,-0.007036,2.918183,0.0356
0.0002561037578896,0.0249407498911061,1.61506248925334,0.0,0.0,0.0,0.0,-0.007223,2.999609,0.037507
0.0002655713633318,0.0255500785630682,1.63441310620366,0.0,0.0,0.0,0.0,-0.007393,3.083323,0.039524
0.0002752688469095,0.0261666619898244,1.6537512129894,0.0,0.0,0.0,0.0,-0.007568,3.166773,0.041591
0.0002851989285029,0.0267904954519065,1.67307666159234,0.0,0.0,0.0,0.0,-0.007744,3.252298,0.043788
0.0002953643262119,0.0274215741743535,1.69238930409116,0.0,0.0,0.0,0.0,-0.007921,3.3372,0.045985
0.0003057677563352,0.0280598933267471,1.71168899266258,0.0,0.0,0.0,0.0,-0.007921,3.425066,0.048332
0.0003164119333496,0.0287054480232495,1.73097557958243,0.0,0.0,0.0,0.0,-0.00813,3.511819,0.050708
0.0003272995698891,0.0293582333226402,1.75024891722687,0.0,0.0,0.0,0.0,-0.008269,3.600915,0.053235
0.0003384333767243,0.0300182442283538,1.76950885807343,0.0,0.0,0.0,0.0,-0.008528,3.68999,0.055821
0.0003498160627416,0.030685475688519,1.78875525470221,0.0,0.0,0.0,0.0,-0.00867,3.780247,0.058487
0.0003614503349222,0.0313599225959965,1.80798795979698,0.0,0.0,0.0,0.0,-0.008879,3.871161,0.061233
0.0003733388983218,0.0320415797884183,1.82720682614629,0.0,0.0,0.0,0.0,-0.009033,3.963239,0.064109
0.0003854844560496,0.0327304420482274,1.84641170664463,0.0,0.0,0.0,0.0,-0.009245,4.05493,0.066995
0.0003978897092478,0.0334265041027175,1.86560245429353,0.0,0.0,0.0,0.0,-0.009417,4.14938,0.070101
0.0004105573570707,0.0341297606240733,1.88477892220271,0.0,0.0,0.0,0.0,-0.009615,4.242244,0.073197
0.0004234900966644,0.0348402062294118,1.90394096359118,0.0,0.0,0.0,0.0,-0.009699,4.337817,0.076462
0.0004366906231455,0.035557835480823,1.92308843178837,0.0,0.0,0.0,0.0,-0.009912,4.432834,0.079737
0.0004501616295815,0.0362826428854115,1.94222118023528,0.0,0.0,0.0,0.0,-0.010141,4.529638,0.083222
0.000463905806969,0.0370146228953388,1.96133906248554,0.0,0.0,0.0,0.0,-0.010314,4.625448,0.086717
0.000477925844214,0.0377537699078657,1.9804419322066,0.0,0.0,0.0,0.0,-0.010434,4.724176,0.090402
0.0004922244281111,0.0385000782653953,1.99952964318081,0.0,0.0,0.0,0.0,-0.010513,4.821402,0.094137
0.0005068042433226,0.0392535422555158,2.01860204930655,0.0,0.0,0.0,0.0,-0.010715,4.919873,0.097972
0.0005216679723583,0.0400141561110449,2.03765900459934,0.0,0.0,0.0,0.0,-0.010925,5.019312,0.101966
0.0005368182955548,0.0407819140100734,2.05670036319297,0.0,0.0,0.0,0.0,-0.011113,5.117809,0.10596
0.0005522578910552,0.0415568100760102,2.07572597934061,0.0,0.0,0.0,0.0,-0.011363,5.218664,0.110144
0.0005679894347882,0.0423388383776269,2.09473570741593,0.0,0.0,0.0,0.0,-0.011391,5.31897,0.114468
0.0005840156004482,0.0431279929291035,2.1137294019142,0.0,0.0,0.0,0.0,-0.011459,5.42014,0.118852
