thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0,0,0,0,0,0,0,0
3.48316715932687e-10,3.48297604304045e-06,0.0232185605621503,0,0,0,0,0
2.78653168006989e-09,1.39318871110037e-05,0.0464370073902518,0,0,0,0,-0
9.40453290288713e-09,3.13466820210472e-05,0.0696552267508131,0,0,0,0,0
2.22921879215606e-08,5.57272754680121e-05,0.0928731049114567,0,0,0,0,0
4.35393335610046e-08,8.70735480260023e-05,0.116090528141477,0,0,0,0,0
7.5235765698147e-08,0.000125385346148069,0.139307382712395,0,0,0,0,0
1.19471229025588e-07,0.000170662482167156,0.162523554898521,0,0,0,0,0
1.78335406813254e-07,0.000222904734297367,0.185738930977503,0,0,0,0,-1e-06
2.53917910675296e-07,0.000282111846634751,0.208953397230893,0,0,0,0,2e-06
3.48308270332356e-07,0.000348283529158251,0.232166839944697,0,0,0,0,-4e-06
4.63595923374153e-07,0.000421419457732072,0.255379145409937,0,0,0,0,-4e-06
6.01870205029149e-07,0.000501519274106314,0.278590199923202,0,0,0,0,-1.3e-05
7.65220337929289e-07,0.000588582585919179,0.301799889787213,0,0,0,0,-2.6e-05
9.55735421871657e-07,0.000682608966698712,0.325008101311372,0,0,0,0,-4.5e-05
1.17550442358691e-06,0.000783597955865008,0.348214720812326,0,0,0,0,-8.2e-05
1.42661616651513e-06,0.00089154905873274,0.371419634614517,0,0,0,0,-0.000108
1.71115932056067e-06,0.0010064617465129,0.394622729050744,0,0,0,0,-0.000156
2.03122239186493e-06,0.00112833545631609,0.417823890462719,0,0,0,0,-0.000205
2.38889371258589e-06,0.00125716959115462,0.44102300520162,0,0,0,0,-0.000248
2.78626143065298e-06,0.00139296351994595,0.464219959628652,0,0,0,0,-0.000318
3.22541349955526e-06,0.00153571657751583,0.487414640115603,0,0,0,0,-0.000371
3.70843766809504e-06,0.00168542806460104,0.510606933045398,0,0,0,0,-0.00047
4.2374214701773e-06,0.00184209724785312,0.533796724812658,0,0,0,0,-0.000546
4.81445221457938e-06,0.00200572335984205,0.556983901824255,0,0,0,0,-0.000653
5.44161697471813e-06,0.00217630559905999,0.580168350499871,0,0,0,0,-0.000762
6.12100257843569e-06,0.00235384312992512,0.603349957272552,0,0,0,0,-0.000878
6.85469559778265e-06,0.00253833508278556,0.626528608589262,0,0,0,0,-0.001001
7.64478233877669e-06,0.00272978055392394,0.649704190911445,0,0,0,0,-0.001131
8.49334883120923e-06,0.00292817860556168,0.672876590715578,0,0,0,0,-0.001281
9.40248081840152e-06,0.00313352826586373,0.696045694493726,0,0,0,0,-0.001421
1.03742637470101e-05,0.00334582852894296,0.719211388754101,0,0,0,0,-0.00159
1.1410782756794e-05,0.00356507835486542,0.742373560021614,0,0,0,0,-0.001751
1.25141226704139e-05,0.00379127666965566,0.765532094838434,0,0,0,0,-0.00194
1.36863679832096e-05,0.00402442236530102,0.788686879764543,0,0,0,0,-0.002115
1.49296028529963e-05,0.00426451429975841,0.811837801378294,0,0,0,0,-0.002325
1.62459110898543e-05,0.00451155129695873,0.834984746276959,0,0,0,0,-0.002525
1.76373761459184e-05,0.0047655321468132,0.858127601077293,0,0,0,0,-0.002745
1.9106081105182e-05,0.00502645560521948,0.881266252416085,0,0,0,0,-0.002965
2.06541086732693e-05,0.00529432039406725,0.904400586950715,0,0,0,0,-0.003206
2.22835411672669e-05,0.00556912520124465,0.927530491359708,0,0,0,0,-0.003412
2.39964605054904e-05,0.00585086868064473,0.950655852343289,0,0,0,0,-0.00367
2.57949481973237e-05,0.0061395494521723,0.973776556623939,0,0,0,0,-0.003913
2.7681085332976e-05,0.0064351661017505,0.996892490946951,0,0,0,0,-0.004194
2.96569525733407e-05,0.00673771718132717,1.02000354208098,0,0,0,0,-0.004455
3.17246301397497e-05,0.00704720120888318,1.0431095968186,0,0,0,0,-0.004748
3.38861978038297e-05,0.00736361666843826,1.06621054197687,0,0,0,0,-0.005025
3.61437348772895e-05,0.00768696201005975,1.08930626439787,0,0,0,0,-0.005339
3.84993202017382e-05,0.00801723564986931,1.11239665094925,0,0,0,0,-0.005589
4.09550321385074e-05,0.00835443597005085,1.13548158852482,0,0,0,0,-0.005939
4.35129485584575e-05,0.00869856131885877,1.15856096404507,0,0,0,0,-0.006258
4.61751468318266e-05,0.00904961001062563,1.18163466445774,0,0,0,0,-0.006553
4.89437038180219e-05,0.00940758032577089,1.20470257673836,0,0,0,0,-0.006881
5.18206958554737e-05,0.00977247051080861,1.22776458789082,0,0,0,0,-0.007214
5.48081987514421e-05,0.010144278778357,1.25082058494792,0,0,0,0,-0.007569
5.79082877718651e-05,0.0105230033071462,1.27387045497191,0,0,0,0,-0.007827
6.11230376311904e-05,0.0109086422420282,1.29691408505506,0,0,0,0,-0.00836
6.44545224822018e-05,0.0113011936939847,1.31995136232019,0,0,0,0,-0.008657
6.79048159058799e-05,0.0117006557401376,1.34298217392127,0,0,0,0,-0.009023
7.14759909012187e-05,0.0121070264237576,1.36600640704391,0,0,0,0,-0.009313
7.5170119875087e-05,0.0125203037542742,1.38902394890596,0,0,0,0,-0.009661
7.89892746320935e-05,0.0129404857072852,1.41203468675804,0,0,0,0,-0.010056
8.29355263643841e-05,0.0133675702245669,1.43503850788411,0,0,0,0,-0.010486
8.70109456415622e-05,0.0138015552140837,1.458035299602,0,0,0,0,-0.010898
9.12176024004948e-05,0.014242438549999,1.48102494926397,0,0,0,0,-0.011274
9.55575659352087e-05,0.0146902180726848,1.50400734425729,0,0,0,0,-0.011689
0.000100032904886741,0.0151448915887333,1.52698237200472,0,0,0,0,-0.012028
0.000104645687232985,0.0156064568709668,1.54994991996516,0,0,0,0,-0.012502
0.000109397980278602,0.0160749116584486,1.57290987563411,0,0,0,0,-0.012893
0.000114291850644841,0.0165502536564952,1.59586212654428,0,0,0,0,-0.01335
0.000119329364259505,0.017032480536686,1.6188065602661,0,0,0,0,-0.013733
0.000124512586346719,0.0175215899368755,1.64174306440833,0,0,0,0,-0.014119
0.000129843581416872,0.0180175794612049,1.66467152661854,0,0,0,0,-0.01455
0.000135324413256527,0.0185204466801139,1.68759183458371,0,0,0,0,-0.014979
0.000140957144918271,0.0190301891303521,1.71050387603073,0,0,0,0,-0.015363
0.000146743838710632,0.0195468043149917,1.73340753872704,0,0,0,0,-0.015818
0.000152686556187956,0.0200702897034392,1.75630271048106,0,0,0,0,-0.01626
0.000158787358140315,0.0206006427314482,1.77918927914286,0,0,0,0,-0.016659
0.000165048304583441,0.0211378608011317,1.80206713260461,0,0,0,0,-0.017128
0.000171471454748601,0.0216819412809746,1.82493615880118,0,0,0,0,-0.01758
0.000178058867072511,0.0222328815058474,1.8477962457107,0,0,0,0,-0.017977
0.000184812599187284,0.0227906787770185,1.87064728135505,0,0,0,0,-0.018443
0.000191734707910302,0.0233553303621679,1.89348915380049,0,0,0,0,-0.018834
0.000198827249234207,0.0239268334953998,1.91632175115814,0,0,0,0,-0.019318
0.000206092278316765,0.0245051853772572,1.93914496158455,0,0,0,0,-0.019695
0.00021353184947083,0.0250903831747349,1.96195867328227,0,0,0,0,-0.020182
0.00022114801615429,0.025682424021294,1.98476277450035,0,0,0,0,-0.020555
0.000228942830959976,0.0262813050168749,2.00755715353495,0,0,0,0,-0.021045
0.000236918345605635,0.0268870232279124,2.03034169872983,0,0,0,0,-0.021424
0.000245076610923875,0.0274995756873501,2.05311629847693,0,0,0,0,-0.021913
0.000253419676852128,0.028118959394654,2.0758808412169,0,0,0,0,-0.022297
0.000261949592422573,0.0287451713158286,2.09863521543966,0,0,0,0,-0.02273
0.000270668405752137,0.0293782083834306,2.12137930968493,0,0,0,0,-0.023195
0.000279578164032438,0.0300180674965842,2.1441130125428,0,0,0,0,-0.023594
0.000288680913519771,0.0306647455209967,2.16683621265425,0,0,0,0,-0.024008
0.0002979786995251,0.0313182392889734,2.18954879871172,0,0,0,0,-0.024424
0.000307473566403991,0.0319785455994335,2.21225065945961,0,0,0,0,-0.024067
0.000317167557546642,0.0326456612179251,2.2349416836949,0,0,0,0,-0.024759
0.000327062715367857,0.0333195828766421,2.25762176026762,0,0,0,0,-0.024885
0.000337161081297046,0.0340003072744392,2.28029077808145,0,0,0,0,-0.025762
0.000347464695768214,0.0346878310768487,2.30294862609421,0,0,0,0,-0.025963
0.000357975598209976,0.0353821509160966,2.32559519331846,0,0,0,0,-0.026547
0.000368695827035557,0.0360832633911189,2.34823036882201,0,0,0,0,-0.026755
