thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W,W_dot_plus,lift
0,0,0,0,0,0,0,0,0
4.955999042348e-10,3.96451761541749e-06,0.0211425840008949,0,0,0,0,0,0
3.96479468171197e-09,1.58580401173656e-05,0.0422850061762155,0,0,0,0,0,0
1.33811564456841e-08,3.56804764724714e-05,0.0634271047016262,0,0,0,0,0,0
3.17182117897609e-08,6.34316749596731e-05,0.0845687177552685,0,0,0,0,0,0
6.19494190283693e-08,9.91114231711408e-05,0.105709683519,0,0,0,0,0,0
1.07048145438223e-07,0.000142719448013426,0.126849840179632,0,0,0,0,0,0
1.69987644499287e-07,0.000194255415710452,0.14798902593017,0,0,0,0,0,-1e-06
2.53741033139564e-07,0.00025371893180524,0.169127078971049,0,0,0,0,0,2e-06
3.61281268974481e-07,0.000321109541163242,0.190263837511375,0,0,0,0,0,-6e-06
4.95581127557522e-07,0.000396426727976255,0.211399139770162,0,0,0,0,0,-0
6.59613179622756e-07,0.000479669915765522,0.232532823977571,0,0,0,0,0,-1.1e-05
8.56349768333221e-07,0.000570838467386797,0.253664728376145,0,0,0,0,0,-2.4e-05
1.0887629865311e-06,0.000669931685034825,0.274794691222054,0,0,0,0,0,-3.5e-05
1.35982465399192e-06,0.000776948810249215,0.295922550786324,0,0,0,0,0,-6.6e-05
1.67250629466803e-06,0.000891889023919606,0.317048145356083,0,0,0,0,0,-0.000107
2.029779113963e-06,0.00101475144629235,0.338171313235794,0,0,0,0,0,-0.000148
2.43461397596831e-06,0.00114553513697716,0.359291892748493,0,0,0,0,0,-0.000215
2.88998138074321e-06,0.00128423909495394,0.380409722237029,0,0,0,0,0,-0.000283
3.39885144156758e-06,0.00143086225858135,0.4015246400653,0,0,0,0,0,-0.000365
3.96419386220737e-06,0.00158540350560388,0.422636484619487,0,0,0,0,0,-0.000459
4.58897791419352e-06,0.00174786165316111,0.443745094309297,0,0,0,0,0,-0.00056
5.27617241408832e-06,0.00191823545779664,0.464850307569195,0,0,0,0,0,-0.000671
6.02874570076706e-06,0.00209652361546742,0.485951962859643,0,0,0,0,0,-0.000799
6.84966561268702e-06,0.00228272476155387,0.507049898668336,0,0,0,0,0,-0.000936
7.74189946518979e-06,0.00247683747087036,0.528143953511437,0,0,0,0,0,-0.001088
8.70841402776494e-06,0.00267886025767609,0.549233965934815,0,0,0,0,0,-0.001264
