Re,Overlap,AOA,Lift,Drag,Power
20.0,0.0,20.0,0.63892,2.318448,2.775035
20.0,0.0,50.0,0.590596,2.340079,2.495582
20.0,100.0,20.0,0.980432,3.29038,4.265219
20.0,100.0,50.0,0.900752,3.307367,3.745714
200.0,0.0,20.0,0.678214,1.128245,1.629221
200.0,0.0,50.0,0.717887,1.349363,1.763169
200.0,100.0,20.0,1.056361,1.636506,2.712097
200.0,100.0,50.0,1.024487,1.912129,2.676482
20.0,50.0,35.0,0.765364,2.683266,2.84762
200.0,50.0,35.0,0.856753,1.358992,1.752619
110.0,0.0,35.0,0.704004,1.274148,1.56978
110.0,100.0,35.0,1.030877,1.824802,2.511502
110.0,50.0,20.0,0.790658,1.46377,2.009179
110.0,50.0,50.0,0.798551,1.666732,2.072625
110.0,50.0,35.0,0.830247,1.489584,1.824823
57.20419849,18.31995614,32.30585323,0.830247,1.489584,1.824823
145.4657454,83.50974005,22.10251727,0.944818,1.612329,2.288258
166.1200507,76.49127009,30.80819024,0.941651,1.540074,2.011345
47.6857399,48.72948972,49.50508215,0.748803,1.962972,2.268916
107.8717547,23.73003579,41.80030766,0.758639,1.431516,1.755037
57.20419849,18.31995614,32.30585323,0.716561,1.554945,1.829955
145.4657454,83.50974005,22.10251727,0.944818,1.612418,2.288258
166.1200507,76.49127009,30.80819024,0.941567,1.540281,2.011345
47.6857399,48.72948972,49.50508215,0.748817,1.962955,2.268916
107.8717547,23.73003579,41.80030766,0.758663,1.431483,1.755037
173.3235064,7.598714325,40.18464758,0.741896,1.266416,1.608493
74.66062218,52.84297851,25.13762363,0.796235,1.606673,2.007756
157.2702726,65.08045774,37.75988691,0.90296,1.531981,1.922144
192.1350404,49.88275171,45.92314601,0.849171,1.522331,1.929756
68.64845554,32.73229634,41.95866501,0.759144,1.608297,1.90192
137.9875908,72.18085126,47.41723584,0.900851,1.739786,2.179503
50.47262668,10.82576905,32.49721274,0.695348,1.584377,1.849626
33.02186271,90.55857,31.11328638,0.934947,1.829705,2.959428
100.9066997,29.55849567,26.55135624,0.747146,1.381851,1.753998
110.7263596,84.49949493,20.98007458,0.92985,1.713598,2.399115
80.05881512,17.39087972,37.37258657,0.732234,1.444409,1.728342
38.68356965,48.71774033,42.8720715,0.767781,2.040168,2.274281
184.0181206,62.40830353,20.60229674,0.853029,1.390033,1.99343
21.28846132,81.95197736,31.27143425,0.891016,2.977433,3.27266
61.17141546,77.35998628,23.66337913,0.87019,1.903867,2.396431
144.5006772,32.00013388,34.16355566,0.788352,1.25084,1.6745
159.4209062,55.704667,39.44651761,0.86926,1.486087,1.859938
175.7344864,1.118464764,28.20812798,0.703436,1.153971,1.523485
111.8615424,92.21561007,48.14362184,0.961933,1.936947,2.520858
97.05953177,27.3514743,45.75230886,0.75348,1.514994,1.857391
110.0,50.0,20.0,0.790658,1.463773,2.009179
110.0,50.0,27.5,0.810424,1.450832,1.845304
110.0,50.0,35.0,0.830247,1.489584,1.824823
110.0,50.0,50.0,0.79861,1.666696,2.072625
110.0,0.0,35.0,0.704077,1.273972,1.56978
110.0,25.0,35.0,0.760697,1.368825,1.682961
110.0,50.0,35.0,0.830247,1.489584,1.824823
110.0,75.0,35.0,0.919408,1.667393,2.058991
110.0,100.0,35.0,1.030971,1.82459,2.511502
20.0,50.0,35.0,0.765533,2.68291,2.84762
65.0,50.0,35.0,0.805113,1.675752,1.961713
110.0,50.0,35.0,0.830247,1.489584,1.824823
155.0,50.0,35.0,0.845746,1.405001,1.774105
200.0,50.0,35.0,0.856819,1.358897,1.752619
200.0,100.0,29.880177,1.068065,1.63924,2.456679
